Governor / Lt. Governor                                             |-  |Allegany County                                   |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           7831|\N
State Senator                                                       |04 |Frederick County                                  |Schlauch                                                    |\N              |Timothy                                                     |Democratic                                        |              0|(Vote for One)                                    |                                           6280|\N
State Senator                                                       |04 |Frederick County                                  |Brinkley                                                    |R.              |David                                                       |Republican                                        |              1|(Vote for One)                                    |                                          20147|\N
State Senator                                                       |04 |Frederick County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             66|\N
State Senator                                                       |05 |Baltimore County                                  |Zepp                                                        |\N              |Ronald                                                      |Democratic                                        |              0|(Vote for One)                                    |                                           4851|\N
State Senator                                                       |05 |Baltimore County                                  |Haines                                                      |E.              |Larry                                                       |Republican                                        |              1|(Vote for One)                                    |                                          13342|\N
State Senator                                                       |05 |Baltimore County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             15|\N
State Senator                                                       |05 |Carroll County                                    |Zepp                                                        |\N              |Ronald                                                      |Democratic                                        |              0|(Vote for One)                                    |                                           7548|\N
State Senator                                                       |05 |Carroll County                                    |Haines                                                      |E.              |Larry                                                       |Republican                                        |              1|(Vote for One)                                    |                                          22407|\N
State Senator                                                       |05 |Carroll County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             34|\N
State Senator                                                       |06 |Baltimore County                                  |Stone                                                       |R.              |Norman                                                      |Democratic                                        |              1|(Vote for One)                                    |                                          25156|\N
State Senator                                                       |06 |Baltimore County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            492|\N
State Senator                                                       |07 |Baltimore County                                  |DeCarlo                                                     |\N              |Diane                                                       |Democratic                                        |              0|(Vote for One)                                    |                                          12886|\N
State Senator                                                       |07 |Baltimore County                                  |Harris                                                      |P.              |Andrew                                                      |Republican                                        |              1|(Vote for One)                                    |                                          16546|\N
State Senator                                                       |07 |Baltimore County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             26|\N
State Senator                                                       |07 |Harford County                                    |DeCarlo                                                     |\N              |Diane                                                       |Democratic                                        |              0|(Vote for One)                                    |                                           4105|\N
State Senator                                                       |07 |Harford County                                    |Harris                                                      |P.              |Andrew                                                      |Republican                                        |              1|(Vote for One)                                    |                                           6828|\N
State Senator                                                       |07 |Harford County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             18|\N
State Senator                                                       |08 |Baltimore County                                  |Klausmeier                                                  |A.              |Katherine                                                   |Democratic                                        |              1|(Vote for One)                                    |                                          24590|\N
State Senator                                                       |08 |Baltimore County                                  |Cluster                                                     |\N              |John                                                        |Republican                                        |              0|(Vote for One)                                    |                                          17426|\N
State Senator                                                       |08 |Baltimore County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             55|\N
State Senator                                                       |09 |Carroll County                                    |Kittleman                                                   |H.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          12570|\N
State Senator                                                       |09 |Carroll County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            203|\N
State Senator                                                       |09 |Howard County                                     |Kittleman                                                   |H.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          27563|\N
State Senator                                                       |09 |Howard County                                     |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            543|\N
State Senator                                                       |10 |Baltimore County                                  |Kelley                                                      |G.              |Delores                                                     |Democratic                                        |              1|(Vote for One)                                    |                                          29638|\N
State Senator                                                       |10 |Baltimore County                                  |Page                                                        |\N              |Robbie                                                      |Republican                                        |              0|(Vote for One)                                    |                                           6981|\N
State Senator                                                       |10 |Baltimore County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             63|\N
State Senator                                                       |11 |Baltimore County                                  |Hollinger                                                   |Colodny         |Paula                                                       |Democratic                                        |              1|(Vote for One)                                    |                                          29009|\N
State Senator                                                       |11 |Baltimore County                                  |Zukerberg                                                   |P.              |Alan                                                        |Republican                                        |              0|(Vote for One)                                    |                                          17336|\N
State Senator                                                       |11 |Baltimore County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             46|\N
State Senator                                                       |12 |Baltimore County                                  |Kasemeyer                                                   |J.              |Edward                                                      |Democratic                                        |              1|(Vote for One)                                    |                                          12133|\N
State Senator                                                       |12 |Baltimore County                                  |Sneeringer                                                  |\N              |Mike                                                        |Republican                                        |              0|(Vote for One)                                    |                                           8477|\N
State Senator                                                       |12 |Baltimore County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             21|\N
State Senator                                                       |12 |Howard County                                     |Kasemeyer                                                   |J.              |Edward                                                      |Democratic                                        |              1|(Vote for One)                                    |                                          13404|\N
State Senator                                                       |12 |Howard County                                     |Sneeringer                                                  |\N              |Mike                                                        |Republican                                        |              0|(Vote for One)                                    |                                           6366|\N
State Senator                                                       |12 |Howard County                                     |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             28|\N
State Senator                                                       |13 |Howard County                                     |Gray                                                        |Vernon          |C.                                                          |Democratic                                        |              0|(Vote for One)                                    |                                          19583|\N
State Senator                                                       |13 |Howard County                                     |Schrader                                                    |B.              |Sandra                                                      |Republican                                        |              1|(Vote for One)                                    |                                          20375|\N
State Senator                                                       |13 |Howard County                                     |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             32|\N
State Senator                                                       |14 |Montgomery County                                 |Kramer                                                      |E.              |Rona                                                        |Democratic                                        |              1|(Vote for One)                                    |                                          22938|\N
State Senator                                                       |14 |Montgomery County                                 |Ribas                                                       |\N              |Jorge                                                       |Republican                                        |              0|(Vote for One)                                    |                                          14773|\N
State Senator                                                       |14 |Montgomery County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             51|\N
State Senator                                                       |15 |Montgomery County                                 |Garagiola                                                   |\N              |Rob                                                         |Democratic                                        |              1|(Vote for One)                                    |                                          20121|\N
State Senator                                                       |15 |Montgomery County                                 |Roesser                                                     |W.              |Jean                                                        |Republican                                        |              0|(Vote for One)                                    |                                          19366|\N
State Senator                                                       |15 |Montgomery County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             18|\N
State Senator                                                       |16 |Montgomery County                                 |Frosh                                                       |E.              |Brian                                                       |Democratic                                        |              1|(Vote for One)                                    |                                          32478|\N
State Senator                                                       |16 |Montgomery County                                 |Devor                                                       |\N              |Tom                                                         |Republican                                        |              0|(Vote for One)                                    |                                          12563|\N
State Senator                                                       |16 |Montgomery County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             30|\N
State Senator                                                       |17 |Montgomery County                                 |Forehand                                                    |M.              |Jennie                                                      |Democratic                                        |              1|(Vote for One)                                    |                                          21494|\N
State Senator                                                       |17 |Montgomery County                                 |Burke                                                       |A.              |Roy                                                         |Republican                                        |              0|(Vote for One)                                    |                                           8737|\N
State Senator                                                       |17 |Montgomery County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             30|\N
State Senator                                                       |18 |Montgomery County                                 |Grosfeld                                                    |\N              |Sharon                                                      |Democratic                                        |              1|(Vote for One)                                    |                                          28504|\N
State Senator                                                       |18 |Montgomery County                                 |Skolnick                                                    |\N              |Shelly                                                      |Republican                                        |              0|(Vote for One)                                    |                                            492|\N
State Senator                                                       |18 |Montgomery County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            385|\N
State Senator                                                       |19 |Montgomery County                                 |Teitelbaum                                                  |H.              |Leonard                                                     |Democratic                                        |              1|(Vote for One)                                    |                                          25825|\N
State Senator                                                       |19 |Montgomery County                                 |Siguenza                                                    |\N              |Lynn                                                        |Republican                                        |              0|(Vote for One)                                    |                                          11146|\N
State Senator                                                       |19 |Montgomery County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             37|\N
State Senator                                                       |20 |Montgomery County                                 |Ruben                                                       |G.              |Ida                                                         |Democratic                                        |              1|(Vote for One)                                    |                                          22738|\N
State Senator                                                       |20 |Montgomery County                                 |Wrightson                                                   |W.              |John                                                        |Republican                                        |              0|(Vote for One)                                    |                                           4885|\N
State Senator                                                       |20 |Montgomery County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             68|\N
State Senator                                                       |21 |Anne Arundel County                               |Giannetti                                                   |A.              |John                                                        |Democratic                                        |              1|(Vote for One)                                    |                                           4380|\N
State Senator                                                       |21 |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            172|\N
State Senator                                                       |21 |Prince George's County                            |Giannetti                                                   |A.              |John                                                        |Democratic                                        |              1|(Vote for One)                                    |                                          14387|\N
State Senator                                                       |21 |Prince George's County                            |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            392|\N
State Senator                                                       |22 |Prince George's County                            |Pinsky                                                      |G.              |Paul                                                        |Democratic                                        |              1|(Vote for One)                                    |                                          19930|\N
State Senator                                                       |22 |Prince George's County                            |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            169|\N
State Senator                                                       |23 |Prince George's County                            |Green                                                       |E.              |Leo                                                         |Democratic                                        |              1|(Vote for One)                                    |                                          29387|\N
State Senator                                                       |23 |Prince George's County                            |Shellenberger                                               |C.              |Fran                                                        |Republican                                        |              0|(Vote for One)                                    |                                           7374|\N
State Senator                                                       |23 |Prince George's County                            |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             29|\N
State Senator                                                       |24 |Prince George's County                            |Exum                                                        |\N              |Nathaniel                                                   |Democratic                                        |              1|(Vote for One)                                    |                                          21570|\N
State Senator                                                       |24 |Prince George's County                            |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             80|\N
State Senator                                                       |25 |Prince George's County                            |Currie                                                      |\N              |Ulysses                                                     |Democratic                                        |              1|(Vote for One)                                    |                                          24761|\N
State Senator                                                       |25 |Prince George's County                            |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             85|\N
State Senator                                                       |26 |Prince George's County                            |Lawlah                                                      |\N              |Gloria                                                      |Democratic                                        |              1|(Vote for One)                                    |                                          25842|\N
State Senator                                                       |26 |Prince George's County                            |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            162|\N
State Senator                                                       |27 |Calvert County                                    |Miller                                                      |V. Mike         |Thomas                                                      |Democratic                                        |              1|(Vote for One)                                    |                                           9807|\N
State Senator                                                       |27 |Calvert County                                    |Jarboe-Duley                                                |\N              |Toni                                                        |Republican                                        |              0|(Vote for One)                                    |                                           7073|\N
State Senator                                                       |27 |Calvert County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              8|\N
State Senator                                                       |27 |Prince George's County                            |Miller                                                      |V. Mike         |Thomas                                                      |Democratic                                        |              1|(Vote for One)                                    |                                          17068|\N
State Senator                                                       |27 |Prince George's County                            |Jarboe-Duley                                                |\N              |Toni                                                        |Republican                                        |              0|(Vote for One)                                    |                                           3439|\N
State Senator                                                       |27 |Prince George's County                            |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             23|\N
State Senator                                                       |28 |Charles County                                    |Middleton                                                   |McLain          |Thomas                                                      |Democratic                                        |              1|(Vote for One)                                    |                                          21735|\N
State Senator                                                       |28 |Charles County                                    |Easter                                                      |\N              |Jim                                                         |Republican                                        |              0|(Vote for One)                                    |                                          12221|\N
State Senator                                                       |28 |Charles County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             16|\N
State Senator                                                       |29 |Calvert County                                    |Dyson                                                       |\N              |Roy                                                         |Democratic                                        |              1|(Vote for One)                                    |                                           4691|\N
State Senator                                                       |29 |Calvert County                                    |Thompson                                                    |R.              |Barbara                                                     |Republican                                        |              0|(Vote for One)                                    |                                           4208|\N
State Senator                                                       |29 |Calvert County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              2|\N
State Senator                                                       |29 |Charles County                                    |Dyson                                                       |\N              |Roy                                                         |Democratic                                        |              1|(Vote for One)                                    |                                            389|\N
State Senator                                                       |29 |Charles County                                    |Thompson                                                    |R.              |Barbara                                                     |Republican                                        |              0|(Vote for One)                                    |                                            441|\N
State Senator                                                       |29 |Charles County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              4|\N
State Senator                                                       |29 |St. Mary's County                                 |Dyson                                                       |\N              |Roy                                                         |Democratic                                        |              1|(Vote for One)                                    |                                          15452|\N
State Senator                                                       |29 |St. Mary's County                                 |Thompson                                                    |R.              |Barbara                                                     |Republican                                        |              0|(Vote for One)                                    |                                          10065|\N
State Senator                                                       |29 |St. Mary's County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             14|\N
State Senator                                                       |30 |Anne Arundel County                               |Astle                                                       |C.              |John                                                        |Democratic                                        |              1|(Vote for One)                                    |                                          24799|\N
State Senator                                                       |30 |Anne Arundel County                               |Smarick                                                     |\N              |Andy                                                        |Republican                                        |              0|(Vote for One)                                    |                                          19922|\N
State Senator                                                       |30 |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             44|\N
State Senator                                                       |31 |Anne Arundel County                               |Jimeno                                                      |C.              |Philip                                                      |Democratic                                        |              1|(Vote for One)                                    |                                          23381|\N
State Senator                                                       |31 |Anne Arundel County                               |Kyle                                                        |K.              |David                                                       |Republican                                        |              0|(Vote for One)                                    |                                          14100|\N
State Senator                                                       |31 |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             30|\N
State Senator                                                       |32 |Anne Arundel County                               |DeGrange                                                    |E.              |James                                                       |Democratic                                        |              1|(Vote for One)                                    |                                          19623|\N
State Senator                                                       |32 |Anne Arundel County                               |Gilleland                                                   |R.              |Terry                                                       |Republican                                        |              0|(Vote for One)                                    |                                          13490|\N
State Senator                                                       |32 |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             45|\N
State Senator                                                       |33 |Anne Arundel County                               |Neall                                                       |R.              |Robert                                                      |Democratic                                        |              0|(Vote for One)                                    |                                          23236|\N
State Senator                                                       |33 |Anne Arundel County                               |Greenip                                                     |\N              |Janet                                                       |Republican                                        |              1|(Vote for One)                                    |                                          27512|\N
State Senator                                                       |33 |Anne Arundel County                               |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             24|\N
